No	Unit	label	English	Japanese	grammer1	grammer2	grammer3	
2-1	2-H	2-H-1	Do you do club activities or committee activities?	あなたは部活動や委員会活動をしていますか？	doの疑問文	or		
2-2	2-H	2-H-2	"Also, are there any activities you are interested in?"	また、何か興味のある活動はありますか？	Are there ~?	any	be interested in ~	
2-3	2-H	2-H-3	Honcho J.H.S. Brass Band	本中中学校吹奏楽部	(団体名)			
2-4	2-H	2-H-4	KENDO!	剣道！	(団体名)			
2-5	2-H	2-H-5	New Members Welcome	新メンバー歓迎	(勧誘文)			
2-6	2-H	2-H-6	Drama Club	演劇部	(団体名)			
2-7	2-H	2-H-7	Science Club (On Tuesdays)	科学部（火曜日）	(団体名)			
2-8	2-H	2-H-8	Join us!	私たちに加わって！	命令文			
2-9	2-H	2-H-9	Do you like ART?	あなたは美術が好きですか？	doの疑問文	like		
2-10	2-H	2-H-10	Swim Team (On Mondays and Thursdays)	水泳チーム（月曜日と木曜日）	(団体名)			
2-11	2-H	2-H-11	BASKETBALL TEAM	バスケットボールチーム	(団体名)			
2-12	2-H	2-H-12	TABLE TENNIS TEAM	卓球チーム	(団体名)			
2-13	2-H	2-H-13	Broadcasting Committee	放送委員会	(団体名)			
2-14	2-1	2-1-1	After classes:	授業のあと：	(場面)			
2-15	2-1	2-1-2	Hello.	こんにちは。	(挨拶)			
2-16	2-1	2-1-3	Are you new students?	あなたたちは新入生ですか？	be動詞の疑問文			
2-17	2-1	2-1-4	Yes.	はい。	(応答)			
2-18	2-1	2-1-5	Come in.	お入りなさい。	(命令文)			
2-19	2-1	2-1-6	Here's the brass band.	こちらが吹奏楽部です。	Here is ~			
2-20	2-1	2-1-7	"Thank you, Mr. Utada."	ありがとうございます、宇田先生。	(感謝)			
2-21	2-2	2-2-1	Do you play an instrument?	あなたは何か楽器を演奏しますか？	doの疑問文			
2-22	2-2	2-2-2	"Yes, I do."	はい、します。	(応答)			
2-23	2-2	2-2-3	I play the trumpet a little.	私はトランペットを少し演奏します。	a little			
2-24	2-2	2-2-4	"We usually practice on Mondays, Wednesdays, and Fridays."	私たちはたいてい月曜日、水曜日、金曜日に練習します。	usually (頻度)	on (曜日)		
2-25	2-3	2-3-1	In the drama club:	演劇部にて：	(場面)			
2-26	2-3	2-3-2	What's this?	これは何ですか？	疑問詞(What)			
2-27	2-3	2-3-3	"Oh, it's a tongue twister."	おお、それは早口言葉です。	be動詞(is)			
2-28	2-3	2-3-4	Can you read it?	あなたはそれを読むことができますか？	canの疑問文			
2-29	2-3	2-3-5	Can you say it?	あなたはそれを言うことができますか？	canの疑問文			
2-30	2-3	2-3-6	"No, I can't."	いいえ、できません。	(応答)			
2-31	2-3	2-3-7	Repeat after me.	私の後に繰り返してください。	命令文	Repeat after ~		
2-32	2-G	2-G-1	Do you like...?	あなたは...が好きですか？	doの疑問文	like		
2-33	2-G	2-G-2	Are you interested in ...?	あなたは...に興味がありますか？	be動詞の疑問文	be interested in ~		
2-34	2-G	2-G-3	Can you play ...?	あなたは...を演奏できますか？/（スポーツが）できますか？	canの疑問文			
2-35	2-G	2-G-4	Come and join our team!	来て私たちのチームに加わってください！	命令文	and		
2-36	2-G	2-G-5	This is my school.	これが私の学校です。	be動詞(is)			
2-37	2-G	2-G-6	What do you do in your break time?	あなたは休み時間に何をしますか？	疑問詞(What)	doの疑問文	in one's break time	
