No	Unit	label	English	Japanese	grammer1	grammer2	grammer3
3-A1	3-AG	AG-1	The dome has been like this for about 80 years.	ドームは約80年間この状態です。	現在完了形(継続)	for(期間)	
3-A2	3-AG	AG-2	Look! The bus hasn't left yet.	見て！バスはまだ出発していません。	現在完了形(完了)	yet(否定文)	
3-A3	3-AG	AG-3	I've never seen such a beautiful sunset.	私はこんなに美しい夕日を一度も見たことがありません。	現在完了形(経験)	never	such a ~
3-A4	3-AG	AG-4	I've been thinking about our trip to Hiroshima.	私は広島への旅行についてずっと考えています。	現在完了進行形		
3-A5	3-AG	AG-5	I have seen this movie twice.	私はこの映画を2回見たことがあります。	現在完了形(経験)	twice	
3-A6	3-AG	AG-6	Have you ever seen that movie?	あなたはその映画を今までに見たことがありますか？	現在完了形(経験)	ever	
3-A7	3-AG	AG-7	"Yes, I have. / No, I haven't. / No, never."	はい、あります。／いいえ、ありません。／いいえ、一度もありません。	(応答)		
3-A8	3-AG	AG-8	I have never seen that movie.	私はその映画を一度も見たことがありません。	現在完了形(経験)	never	
3-A9	3-AG	AG-9	Kota has known Eri for 12 years.	コウタはエリと12年間知り合いです。	現在完了形(継続)	for(期間)	
3-A10	3-AG	AG-10	How long has Kota known Eri?	コウタはどのくらいの間エリと知り合いですか？	現在完了形(継続)	How long ~?	
3-A11	3-AG	AG-11	For 12 years. / Since he was three.	12年間です。／彼が3歳の時から。	for(期間)	since(起点)	
3-A12	3-AG	AG-12	It has been raining for three days.	3日間ずっと雨が降っています。	現在完了進行形	for(期間)	
3-A13	3-AG	AG-13	How long has it been raining?	どのくらいの間雨が降っていますか？	現在完了進行形	How long ~?	
3-A14	3-AG	AG-14	For three days. / Since yesterday morning.	3日間です。／昨日の朝から。	for(期間)	since(起点)	
3-A15	3-AG	AG-15	I have already finished my English homework.	私はすでに英語の宿題を終えました。	現在完了形(完了)	already	
3-A16	3-AG	AG-16	Have you finished your math homework yet?	あなたはもう数学の宿題を終えましたか？	現在完了形(完了)	yet(疑問文)	
3-A17	3-AG	AG-17	"Yes, I have. / No, I haven't. / No, not yet."	はい、終えました。／いいえ、まだです。／いいえ、まだです。	(応答)		
3-A18	3-AG	AG-18	I have not finished my math homework yet.	私はまだ数学の宿題を終えていません。	現在完了形(完了)	not yet	
3-A19	3-AG	AG-19	Tina left her camera on the bus yesterday.	ティナは昨日バスにカメラを置き忘れました。	過去形		
3-A20	3-AG	AG-20	Tina has left her camera on the bus.	ティナはバスにカメラを置き忘れてしまいました。（そして今もない）	現在完了形(結果)		
3-B1	3-LR1	LR1-1	"On the morning of July 17, 1940, Sugihara Chiune was in his house in Kaunas, Lithuania."	1940年7月17日の朝、杉原千畝はリトアニアのカウナスにある彼の家にいました。	on (日付)	in (場所)	
3-B2	3-LR1	LR1-2	He looked outside and saw many people around his house.	彼は外を見て、家の周りに多くの人々がいるのを見ました。	and		
3-B3	3-LR1	LR1-3	"“Who are they?"" asked his wife, Yukiko."	「彼らは誰ですか？」と彼の妻、幸子は尋ねました。	疑問詞(Who)		
3-B4	3-LR1	LR1-4	"“People from Poland. They're Jewish. They escaped from the Nazis,"" he answered."	「ポーランドから来た人々です。彼らはユダヤ人です。ナチスから逃れてきたのです」と彼は答えました。	escape from ~		
3-B5	3-LR1	LR1-5	They asked Sugihara to issue visas.	彼らは杉原にビザを発給するように頼みました。	ask A to do B		
3-B6	3-LR1	LR1-6	They wanted to go to safe countries.	彼らは安全な国へ行きたがっていました。	want to do		
3-B7	3-LR1	LR1-7	"To get there, they needed to pass through Japan."	そこへ行くために、彼らは日本を通過する必要がありました。	to不定詞(副詞的用法)	need to do	pass through ~
3-B8	3-LR1	LR1-8	"“I must help these people,” Sugihara thought."	「私はこの人々を助けなければならない」と杉原は思いました。	must		
3-B9	3-LR1	LR1-9	"The next day, there were more people around his house."	次の日、彼の家の周りにはさらに多くの人々がいました。	There were ~		
3-B10	3-LR1	LR1-10	"He asked for permission to issue visas, but it was refused by the Foreign Ministry."	彼はビザを発給する許可を求めましたが、それは外務省によって拒否されました。	ask for ~	受動態	
