No	Unit	label	English	Japanese	grammer1	grammer2	grammer3
4-1	4-H	4-H-1	What happened?	何が起こりましたか？	疑問詞(What)		
4-2	4-H	4-H-2	Hurricane Maria hit Puerto Rico.	ハリケーン・マリアがプエルトリコを襲いました。			
4-3	4-H	4-H-3	He started to raise (money) for solar lamps and hand-powered washing machines.	彼は太陽光ランプと手動洗濯機のためにお金を集め始めました。	start to do	for (目的)	
4-4	4-H	4-H-4	"He received the ""President's Environmental Youth Award"" in (2019)."	彼は2019年に「大統領環境ユース賞」を受賞しました。			
4-5	4-H	4-H-5	Another hurricane hit Puerto Rico in 2022.	2022年、別のハリケーンがプエルトリコを襲いました。			
4-6	4-H	4-H-6	He restarted the project and helped (people) again.	彼はそのプロジェクトを再開し、再び人々を助けました。			
4-7	4-H	4-H-7	The Syrian civil war started in (2011).	シリア内戦は2011年に始まりました。			
4-8	4-H	4-H-8	She had to flee Syria.	彼女はシリアから逃げなければなりませんでした。	have to do (過去形)		
4-9	4-H	4-H-9	She brought her (books) with her.	彼女は本を持っていきました。			
4-10	4-H	4-H-10	She moved to a refugee camp in Jordan.	彼女はヨルダンの難民キャンプへ移りました。			
4-11	4-H	4-H-11	She started to tell adults about the importance of education.	彼女は大人たちに教育の重要性について語り始めました。	start to do	tell A about B	
4-12	4-H	4-H-12	She became the (youngest) Hoodwill Ambassador of UNICEF.	彼女はユニセフの最年少親善大使になりました。	最上級		
4-13	4-H	4-H-13	Do you use any AI devices in your daily life?	あなたは日常生活で何かAI機器を使いますか？	doの疑問文		
4-14	4-H	4-H-14	What opinion does Kota have about AI?	コウタはAIについてどのような意見を持っていますか？	疑問詞(What)	doの疑問文	
4-15	4-1	4-1-1	On a website:	ウェブサイトにて：	(場面)		
4-16	4-1	4-1-2	AI technology has made great progress lately.	AI技術は最近、大きな進歩を遂げました。	現在完了形(完了)	make progress	
4-17	4-1	4-1-3	It has become a part of our daily lives.	それは私たちの日常生活の一部になっています。	現在完了形(結果)	become C	
4-18	4-1	4-1-4	"For example, internet search engines use AI technology."	例えば、インターネットの検索エンジンはAI技術を使っています。			
4-19	4-1	4-1-5	Smartphones which respond to voice commands are common these days.	音声コマンドに応答するスマートフォンは、最近では一般的です。	関係代名詞(which)		
4-20	4-1	4-1-6	Robots which automatically clean your house have become popular.	あなたの家を自動的に掃除するロボットが人気になっています。	関係代名詞(which)	現在完了形(結果)	
4-21	4-1	4-1-7	These all use AI technology.	これらはすべてAI技術を使っています。			
4-22	4-1	4-1-8	Translation software also uses AI technology.	翻訳ソフトウェアもAI技術を使っています。	also		
4-23	4-1	4-1-9	It can come up with the best translation by using AI technology.	それはAI技術を使うことによって、最良の翻訳を思いつくことができます。	can	come up with ~	by -ing
4-24	4-1	4-1-10	It is becoming common.	それは一般的になりつつあります。	現在進行形		
4-25	4-1	4-1-11	"In the near future, AI will help us communicate with people all over the world quite easily."	近い将来、AIは私たちが世界中の人々と非常に簡単にコミュニケーションをとるのを助けるでしょう。	will	help O do	
4-26	4-2	4-2-1	Today's discussion topic is AI technology for our future.	今日のディスカッションのトピックは、私たちの未来のためのAI技術です。			
4-27	4-2	4-2-2	"If you can use translation software, do you still need to learn foreign languages in school?"	もし翻訳ソフトが使えるなら、それでも学校で外国語を学ぶ必要はありますか？	if (接続詞)	need to do	
