No	Unit	label	English	Japanese	grammer1	grammer2	grammer3	
3-1	3-H	3-H-1	What do you do during the summer vacation every year?	あなたは毎年夏休みの間に何をしますか？	疑問詞(What)	doの疑問文		
3-2	3-H	3-H-2	What do you want to do this year?	あなた今年はなにをしたいですか？	疑問詞(What)	want to do		
3-3	3-H	3-H-3	see the fireworks	花火を見る	(動詞句)			
3-4	3-H	3-H-4	do my homework	宿題をする	(動詞句)			
3-5	3-H	3-H-5	climb mountains	山に登る	(動詞句)			
3-6	3-H	3-H-6	go camping	キャンプに行く	(動詞句)			
3-7	3-H	3-H-7	go to the beach	ビーチに行く	(動詞句)			
3-8	3-H	3-H-8	visit my grandparents	祖父母を訪ねる	(動詞句)			
3-9	3-H	3-H-9	go to the library	図書館に行く	(動詞句)			
3-10	3-H	3-H-10	go to a summer festival	夏祭りに行く	(動詞句)			
3-11	3-H	3-H-11	try yo-yo fishing	ヨーヨー釣りを試す	(動詞句)			
3-12	3-H	3-H-12	eat watermelon	スイカを食べる	(動詞句)			
3-13	3-1	3-1-1	What do you do during the summer vacation?	あなたは夏休みの間に何をしますか？	疑問詞(What)	doの疑問文		
3-14	3-1	3-1-2	I usually visit my grandparents.	私はたいてい祖父母を訪ねます。	usually(頻度)			
3-15	3-1	3-1-3	I go to the beach with my family.	私は家族と一緒にビーチへ行きます。	with(?と一緒に)			
3-16	3-1	3-1-4	"That's boring, Kota."	それは退屈だよ、コウタ。	be動詞(is)			
3-17	3-1	3-1-5	I just practice the trumpet.	僕はただトランペットを練習するだけだよ。	just			
3-18	3-1	3-1-6	But I also go to the Honcho Summer Festival every year.	でも僕は毎年本町夏祭りにも行くよ。	also	every year		
3-19	3-1	3-1-7	Sounds fun.	楽しそうだね。	sound + 形容詞			
3-20	3-2	3-2-1	At the Honcho Summer Festival:	本町夏祭りにて：	(場面)			
3-21	3-2	3-2-2	Listen.	聞いて。	命令文			
3-22	3-2	3-2-3	What's that?	あれは何？	疑問詞(What)			
3-23	3-2	3-2-4	Bon-odori.	盆踊りだよ。	(名詞)			
3-24	3-2	3-2-5	It's a summer festival dance.	それは夏祭りの踊りだよ。	be動詞(is)			
3-25	3-2	3-2-6	Ta-da!	じゃーん！	(擬音語)			
3-26	3-2	3-2-7	Do you like it?	あなたはそれが好き？	doの疑問文	like		
3-27	3-2	3-2-8	Really?	ほんと？	(感嘆)			
3-28	3-2	3-2-9	I like dancing.	私は踊るのが好き。	動名詞			
3-29	3-2	3-2-10	"Do you like dancing, Nick?"	ニック、あなたは踊るのが好き？	動名詞	doの疑問文		
3-30	3-2	3-2-11	Of course.	もちろん。	(口語表現)			
3-31	3-3	3-3-1	What are those?	あれらは何ですか？	疑問詞(What)	be動詞の疑問文		
3-32	3-3	3-3-2	Balloons?	風船？	(名詞)			
3-33	3-3	3-3-3	Yeah.	うん。	(応答)			
3-34	3-3	3-3-4	They're like yo-yos.	それらはヨーヨーみたいだね。	be動詞(are)	like(?のようだ)		
3-35	3-3	3-3-5	Do you want to try it?	それをやってみたい？	want to do	doの疑問文		
3-36	3-3	3-3-6	Yes.	はい。	(応答)			
3-37	3-3	3-3-7	I want to get that blue one.	僕はあの青いやつが欲しい。	want to do			
3-38	3-3	3-3-8	"Go, Nick!"	行け、ニック！	命令文			
3-39	3-3	3-3-9	"Oh, no."	ああ、だめだ。	(感嘆)			
3-40	3-3	3-3-10	It's too heavy.	それは重すぎるよ。	be動詞(is)	too(?すぎる)		
3-41	3-3	3-3-11	OK.	わかった。	(応答)			
3-42	3-3	3-3-12	Watch me.	僕を見てて。	命令文			
3-43	3-3	3-3-13	I'm a pro.	僕はプロだよ。	be動詞(am)			
