No	Unit	label	English	Japanese	grammer1	grammer2	grammer3
1-1	1-H	1-H-1	Do you usually keep a diary?	あなたは普段、日記をつけていますか？	doの疑問文	usually (頻度)	
1-2	1-1	1-1-1	We're all in the same class this year.	私たちは今年、みんな同じクラスです。	be動詞(are)	all	
1-3	1-1	1-1-2	Yeah. Isn't it great?	ええ。素晴らしいじゃない？	be動詞の否定疑問文		
1-4	1-1	1-1-3	Look! Hajin's here.	見て！ハジンが来たよ。	命令文		
1-5	1-1	1-1-4	Hi! Long time no see.	やあ！久しぶり。	(挨拶)		
1-6	1-1	1-1-5	Good to see you.	会えてうれしいよ。	to不定詞(副詞的用法)		
1-7	1-1	1-1-6	How was your trip to Korea?	韓国への旅行はどうでしたか？	How ~?	be動詞(was)	
1-8	1-1	1-1-7	It was great.	素晴らしかったです。	be動詞(was)		
1-9	1-1	1-1-8	I went to Busan.	私はプサンへ行きました。	過去形		
1-10	1-1	1-1-9	I visited my grandparents.	私は祖父母を訪ねました。	過去形		
1-11	1-1	1-1-10	We met for the first time in half a year.	私たちは半年ぶりに会いました。	過去形	for the first time in ~	
1-12	1-1	1-1-11	What else?	他には？	(口語表現)		
1-13	1-1	1-1-12	I saw my friends in Seoul.	私はソウルで友達に会いました。	過去形		
1-14	1-1	1-1-13	They were really interested in Japan.	彼らは日本にとても興味がありました。	be動詞(were)	be interested in ~	
1-15	1-2	1-2-1	Hajin comes out of the library:	ハジンが図書室から出てくる：	(場面)		
1-16	1-2	1-2-2	There you are! I was looking for you.	そこにいたんだ！あなたを探していたのよ。	(口語表現)	過去進行形	
1-17	1-2	1-2-3	What were you doing?	何をしていたの？	過去進行形	疑問詞(What)	
1-18	1-2	1-2-4	I was studying.	勉強していました。	過去進行形		
1-19	1-2	1-2-5	"When I have free time, I often study Japanese here."	時間があるときは、よくここで日本語を勉強します。	when (接続詞)	often (頻度)	
1-20	1-2	1-2-6	Kanji are really hard.	漢字は本当に難しいです。	be動詞(are)		
1-21	1-2	1-2-7	I know.	わかるわ。	(同意)		
1-22	1-2	1-2-8	"By the way, the school basketball tournament is next month, right?"	ところで、学校のバスケットボール大会は来月よね？	by the way	right? (付加疑問)	
1-23	1-2	1-2-9	That's right.	その通りです。	(応答)		
1-24	1-2	1-2-10	Can you coach the other students in the class?	クラスの他の生徒をコーチしてくれない？	Can you ~? (依頼)		
1-25	1-2	1-2-11	Me?	僕が？	(応答)		
1-26	1-2	1-2-12	"Yes, you! You're our choice."	ええ、あなたよ！あなたが私たちの選んだ人なの。	our (所有格)		
1-27	1-2	1-2-13	Sure. What an honor!	もちろん。なんて光栄なんだ！	What a/an ~ ! (感嘆文)		
1-28	1-3	1-3-1	"Thursday, April 6 (sunny)"	4月6日 木曜日（晴れ）	(日付)		
1-29	1-3	1-3-2	It was a good day today.	今日は良い一日だった。	be動詞(was)		
1-30	1-3	1-3-3	"Kota, Tina, Eri, and I are all in the same class."	コウタ、ティナ、エリ、そして僕はみんな同じクラスだ。	be動詞(are)	and	
1-31	1-3	1-3-4	Everyone liked my gifts from Korea.	みんなが韓国からのお土産を気に入ってくれた。	過去形		
1-32	1-3	1-3-5	They all looked happy.	彼らはみんな嬉しそうに見えた。	look + 形容詞		
1-33	1-3	1-3-6	Awesome!	最高！	(感嘆)		
1-34	1-3	1-3-7	"After school, Eri and I talked about the basketball tournament."	放課後、エリと僕はバスケットボール大会について話した。	talk about ~		
1-35	1-3	1-3-8	She asked me about coaching.	彼女は僕にコーチングについて尋ねてきた。	ask A about B		
1-36	1-3	1-3-9	"I was surprised at first, but I accepted the offer."	最初は驚いたけど、その申し出を受け入れた。	be surprised at ~	at first	but
1-37	1-3	1-3-10	It sounds exciting.	それは面白そうだ。	sound + 形容詞		
1-38	1-3	1-3-11	I want to show the joy of basketball to everyone.	僕はみんなにバスケットボールの楽しさを見せたい。	want to do	show A to B	
1-39	1-G	1-G-1	"Kota's Diary: Sunday, April 16 (cloudy)"	コウタの日記：4月16日 日曜日（曇り）	(見出し)		
1-40	1-G	1-G-2	"In the morning, I made breakfast by myself."	朝、私は一人で朝食を作った。	by oneself		
1-41	1-G	1-G-3	It was not good.	それはおいしくなかった。	be動詞(was)の否定		
1-42	1-G	1-G-4	"In the afternoon, I went to a movie with Hajin."	午後、私はハジンと映画に行った。	go to a movie		
1-43	1-G	1-G-5	"When we were ordering drinks, Tina came up to us."	私たちが飲み物を注文していると、ティナが私たちのところにやって来た。	when (接続詞)	過去進行形	come up to ~
1-44	1-G	1-G-6	We had a good time.	私たちは楽しい時を過ごした。	have a good time		
1-45	1-G	1-G-7	"In the evening, I read a basketball magazine."	夕方、私はバスケットボールの雑誌を読んだ。	read (過去形)		
1-46	1-G	1-G-8	Hajin lent it to me.	ハジンがそれを私に貸してくれた。	lend A to B		
1-47	1-G	1-G-9	"He is excited about the tournament, but I'm not."	彼は大会にわくわくしているが、私はそうではない。	be excited about ~	but	
1-48	1-G	1-G-10	"Tina's Diary: Sunday, April 16 (cloudy)"	ティナの日記：4月16日 日曜日（曇り）	(見出し)		
1-49	1-G	1-G-11	Something surprising happened today.	今日、何か驚くべきことが起こった。	something + 形容詞		
1-50	1-G	1-G-12	I went to a movie with Nick in the afternoon.	午後、私はニックと映画に行った。	go to a movie		
1-51	1-G	1-G-13	We saw *Here We Go!*	私たちは『Here We Go!』を観た。	see (の過去形)		
1-52	1-G	1-G-14	"After the movie, we found Kota and Hajin."	映画の後、私たちはコウタとハジンを見つけた。	find (の過去形)		
1-53	1-G	1-G-15	I was really surprised.	私は本当に驚いた。	be surprised		
