No	Unit	label	English	Japanese	grammer1	grammer2	grammer3
4-A1	4-LR2	LR2-1	"When you hear the word ""robot,"" what kind of robot do you imagine?"	あなたが「ロボット」という言葉を聞くとき、どんな種類のロボットを想像しますか？	when (接続詞)	what kind of ~?	
4-A2	4-LR2	LR2-2	"Some people think of anime characters, some people think of human-like robots that talk to people, 
and some people think of home cleaning robots."	"アニメのキャラクターを思い浮かべる人もいれば、人と話す人間のようなロボットを思い浮かべる人もいれば、
家庭用掃除ロボットを思い浮かべる人もいます。"	"Some ..., some ..., and some ..."	think of ~	関係代名詞(that)
4-A3	4-LR2	LR2-3	Scientists are continuing to invent more and more robots.	科学者たちはますます多くのロボットを発明し続けています。	continue to do	more and more	
4-A4	4-LR2	LR2-4	What kind of robots have they created?	彼らはどんな種類のロボットを創り出してきたのでしょうか？	現在完了形(結果)	what kind of ~?	
4-A5	4-LR2	LR2-5	Let's look at some examples and think about the relationship between humans and robots.	いくつかの例を見て、人間とロボットの関係について考えてみましょう。	Let's do	look at ~	
4-A6	4-LR2	LR2-6	"This is ""HAL,"" a robot suit. It's a cyborg-type robot."	これはロボットスーツ「HAL」です。それはサイボーグ型のロボットです。			
4-A7	4-LR2	LR2-7	"HAL doesn't do anything by itself, but it helps people carry heavy things and protects them from injury."	HALはそれ自体では何もしませんが、人々が重いものを運ぶのを助け、怪我から彼らを守ります。	by itself	help O do	
4-A8	4-LR2	LR2-8	HAL is used in care facilities.	HALは介護施設で使われています。	受動態		
4-A9	4-LR2	LR2-9	It supports people who work there.	それはそこで働く人々をサポートします。	関係代名詞(who)		
4-A10	4-LR2	LR2-10	It helps them transfer elderly people.	それは彼らが年配の人々を移すのを助けます。	help O do (to省略)		
4-A11	4-LR2	LR2-11	"Elderly people can use HAL, too."	年配の人々もHALを使うことができます。	can		
4-A12	4-LR2	LR2-12	It helps them move their body.	それは彼らが体を動かすのを助けます。	help O do (to省略)		
